,Title,Source,Description,Link,Time
22,France to decide response to Algeria 'hostility' as tensions mount - minister,Reuters ·  via Yahoo News,President Emmanuel Macron and key members of the government will meet in the coming days to decide... ,https://www.yahoo.com/news/france-decide-response-algeria-hostility-160631078.html?fr=sycsrp_catchall,5 hours ago
23,How a digital tool brought Notre-Dame back to life in record time,Mashable ·  via Yahoo News,"5 years after a fire nearly destroyed Notre Dame, the famous Paris landmark opened its doors again... ",https://www.yahoo.com/tech/digital-tool-brought-notre-dame-170609147.html,4 hours ago
24,"Zelenskyy, Macron discuss Western troop deployment in Ukraine before German...",Associated Press ·  via Yahoo News,Ukrainian President Volodymyr Zelenskyy said that he has held further discussions with French... ,https://www.yahoo.com/news/zelenskyy-macron-discuss-western-troop-103945932.html?fr=sycsrp_catchall,1 day ago
25,France’s new prime minister hints at tearing up Macron’s state pension reforms,The Telegraph ·  via Yahoo News,François Bayrou has told lawmakers that the president’s reforms would be ‘renegotiated’ - Ludovic... ,https://www.yahoo.com/news/france-prime-minister-vows-tear-101751005.html?fr=sycsrp_catchall,11 hours ago
26,French President Emmanuel Macron Says His Wife Does Not 'Owe' Candace Owens...,OK! Magazine,Right-wing political commentator Candace Owens responded to a firmly-worded legal letter written to... ,https://okmagazine.com/p/emmanuel-macron-legal-letter-wife-doesnt-owe-candace-owens-proof-woman/,5 days ago
27,Macron to visit Lebanon amid promises of renewed French support,RFI ·  via Yahoo News,"French President Emmanuel Macron will visit Lebanon on Friday, both countries announced, marking the... ",https://www.yahoo.com/news/macron-visit-lebanon-amid-promises-070909423.html?fr=sycsrp_catchall,14 hours ago
28,Jill Biden reveals what transpired in viral moment with Trump at Notre Dame...,Fox News,"French first lady Brigitte Macron had been sitting in between Biden and Trump during the ceremony,... ",https://www.foxnews.com/media/jill-biden-reveals-what-transpired-viral-moment-trump-notre-dame-cathedral,3 hours ago
29,"Zelensky, Macron mull ""practical steps"" to deploy peacekeepers in Ukraine",Newsweek,Ukrainian President Volodymyr Zelensky spoke on the phone with his French counterpart Emmanuel... ,https://www.newsweek.com/zelensky-macron-mull-practical-steps-deploy-peacekeepers-ukraine-2014503,1 day ago
30,"Ukraine-Russia war live: Moscow plotted terror attacks on airlines around world,...",The Independent US ·  via AOL,Polish Prime Minister Donald Tusk has accused Russia of planning acts of sabotage worldwide that... ,https://www.aol.com/ukraine-russia-war-live-frontline-144843397.html,6 hours ago
31,Poland's Tusk accuses Russia of planning global acts of airline terror,Newsweek,Polish Prime Minister Donald Tusk alleged on Wednesday that Russia is planning acts of sabotage... ,https://www.newsweek.com/polands-tusk-accuses-russia-planning-global-airline-terror-2015317,7 hours ago
32,Poland's Tusk pledges to advance Ukraine's EU membership during Presidency,Newsweek,Poland's Prime Minister Donald Tusk has vowed to prioritize Ukraine's path to European Union... ,https://www.newsweek.com/polands-tusk-pledges-ukraines-eu-membership-during-presidency-2015268,9 hours ago
33,"Russia planned 'acts of terrorism' in the air, Polish PM says",Reuters ·  via Yahoo News,"WARSAW (Reuters) -Russia planned ""acts of terrorism"" in the air against Poland and other countries,... ",https://www.yahoo.com/news/russia-planned-acts-terrorism-air-134049020.html?fr=sycsrp_catchall,8 hours ago
34,Poland’s Tusk Says Russia Planned Terror Acts Against Airlines,Bloomberg ·  via Yahoo News,(Bloomberg) -- Polish Prime Minister Donald Tusk accused Russia of planning to carry out “acts of... ,https://www.yahoo.com/news/poland-tusk-says-russia-planned-162111532.html?fr=sycsrp_catchall,5 hours ago
35,"Poland and Ukraine agree WWII massacre deal, discuss NATO guarantees",dpa international ·  via Yahoo News,Poland and Ukraine have agreed to exhume Polish civilians murdered by Ukrainian nationalists during... ,https://www.yahoo.com/news/poland-ukraine-agree-wwii-massacre-165016569.html?fr=sycsrp_catchall,5 hours ago
36,Polish PM Donald Tusk accuses Russia of planning acts of terrorism against...,The Independent US ·  via AOL,"Speaking at a press conference in Warsaw alongside Ukrainian president Volodymyr Zelensky, Donald... ",https://www.aol.com/polish-pm-donald-tusk-accuses-155459437.html,3 hours ago
37,NATO on red alert as Russia accused of 'plotting terror attacks',Daily Express,NATO has been put on high alert after Russia was accused of launching terror attacks against... ,https://www.express.co.uk/news/world/2000987/russia-terror-attacks-airlines,2 hours ago
38,UK and France in talks over sending peacekeeping troops to Ukraine,The Telegraph ·  via Yahoo News,Sir Keir Starmer and Emmanuel Macron are discussing sending British and French soldiers to Ukraine... ,https://www.yahoo.com/news/uk-france-talks-over-sending-210000546.html?fr=sycsrp_catchall,24 minutes ago
39,"Ukraine and Poland finding 'common language' on WW2 dispute, says Tusk",Reuters ·  via Yahoo News,WARSAW (Reuters) -Poland on Tuesday hailed progress in resolving a historical dispute with Ukraine... ,https://www.yahoo.com/news/ukraines-zelenskiy-visits-warsaw-wednesday-054828623.html?fr=sycsrp_catchall,16 hours ago
40,Trump Nominee 'Destroying' Democrat Adam Schiff During Tense Exchange Praised By...,International Business Times,"Adam Schiff. Schiff started his interrogation by pushing Bondi, the former Florida attorney general,... ",https://www.ibtimes.com/trump-nominee-destroying-democrat-adam-schiff-during-tense-exchange-praised-conservatives-3759417,1 hour ago
41,What's on the ballot for Wisconsin's Feb. 18 primary and April 1 spring...,Milwaukee Journal Sentinel ·  via Yahoo News,"Believe it or not, the next election in Wisconsin is only a month away — the spring primary on... ",https://www.yahoo.com/news/whats-ballot-wisconsins-feb-18-110241087.html?fr=sycsrp_catchall,10 hours ago
42,Confirmation hearings live updates: Pam Bondi quizzed over independence from...,The Independent ·  via Yahoo News,"President-elect’s picks for attorney general and secretary of state, Pam Bondi and Marco Rubio,... ",https://www.yahoo.com/news/house-speaker-vote-live-updates-095919421.html?fr=sycsrp_catchall,23 minutes ago
43,Trump-fuelled stock market rally sends Wall Street profits to record highs,The Telegraph ·  via Yahoo Finance,The S&P 500 hit a record high after Donald Trump’s election victory - Charly Triballeau/AFP Wall... ,https://finance.yahoo.com/news/trump-fuelled-stock-market-rally-192830548.html?fr=sycsrp_catchall,2 hours ago
44,Israel and Hamas agree to ceasefire days before Trump takes power,The Telegraph ·  via Yahoo News,"Donald Trump hailed the “epic deal” on Wednesday night, claiming that it could only have happened... ",https://www.yahoo.com/news/israel-hamas-agree-ceasefire-days-204620454.html?fr=sycsrp_catchall,34 minutes ago
45,How to reset your relationship with your phone - The Washington Post,Washington Post,The 2024 election pushed some people to put down their phones more and tune out of the news. “Our... ,https://www.washingtonpost.com/podcasts/post-reports/how-to-reset-your-relationship-with-your-phone-1/,24 minutes ago
46,Pam Bondi refuses to say Trump lost 2020 election in confirmation hearing,The Independent ·  via Yahoo News,"Pam Bondi, Donald Trump’s nominee for the next U.S. attorney general, repeatedly refused to... ",https://www.yahoo.com/news/pam-bondi-refuses-trump-lost-171758504.html?fr=sycsrp_catchall,3 hours ago
47,Minnesota House DFL files lawsuit saying Republicans speaker election ‘unlawful’,"Pioneer Press, St. Paul, Minn. ·  via Yahoo News",The debate over whether Minnesota House Republicans acted lawfully when they elected a speaker is... ,https://www.yahoo.com/news/minnesota-house-dfl-files-lawsuit-202300615.html?fr=sycsrp_catchall,1 hour ago
48,Mat-Su Assembly to consider ban on ballot counting machines,Anchorage Daily News,The Matanuska-Susitna Borough Assembly will consider a resolution prohibiting election officials... ,https://www.adn.com/alaska-news/mat-su/2025/01/15/mat-su-assembly-to-consider-ban-on-ballot-counting-machines/,2 hours ago
49,Head of US cybersecurity agency says she hopes it keeps up election work under...,KFDX Wichita Falls,"NEW YORK (AP) — Jen Easterly, the outgoing head of the U.S. government’s Cybersecurity and... ",https://www.texomashomepage.com/news/political-news/ap-head-of-us-cybersecurity-agency-says-she-hopes-it-keeps-up-election-work-under-trump/,1 hour ago
50,"Poland and Ukraine agree WWII massacre deal, discuss NATO guarantees",dpa international ·  via Yahoo News,The agreement follows a lengthy dispute over the need for Polish families to bury their relatives... ,https://www.yahoo.com/news/poland-ukraine-agree-wwii-massacre-165016569.html?fr=sycsrp_catchall,5 hours ago
51,Zelensky shows video of captive North Korean soldier: 'Unaware of Ukraine',Newsweek,Ukrainian President Volodymyr Zelensky has shared new footage appearing to show a North Korean... ,https://www.newsweek.com/volodymyr-zelensky-ukraine-north-korea-prisoners-war-captured-video-2015146,11 hours ago
52,Everything we know about North Korean soldiers captured by Ukraine,The Independent US ·  via AOL,Ukraine has found “irrefutable evidence” of North Korea’s involvement in Russia’s war against his... ,https://www.aol.com/everything-know-north-korean-soldiers-131651121.html,16 hours ago
53,Zelensky says Ukraine has offered assistance on California wildfires,The Hill ·  via Yahoo News,Ukrainian President Volodymyr Zelensky said Sunday that his country has offered assistance on the... ,https://www.yahoo.com/news/zelensky-says-ukraine-offered-assistance-215156236.html?fr=sycsrp_catchall,3 days ago
54,UK and France in talks over sending peacekeeping troops to Ukraine,The Telegraph ·  via Yahoo News,Sir Keir Starmer and Emmanuel Macron are discussing sending British and French soldiers to Ukraine... ,https://www.yahoo.com/news/uk-france-talks-over-sending-210000546.html?fr=sycsrp_catchall,24 minutes ago
55,"Ukraine-Russia war live: Moscow plotted terror attacks on airlines around world,...",The Independent US ·  via AOL,"Speaking at a news conference in Warsaw alongside Ukrainian president Volodymyr Zelensky, Mr Tusk... ",https://www.aol.com/ukraine-russia-war-live-frontline-144843397.html,6 hours ago
56,Ukraine and Russia swap 50 prisoners,dpa international ·  via Yahoo News,"Soldiers from the Kharkiv, Zaporizhzhya and Donetsk regions as well as wounded soldiers from the contested Russian border area of Kursk are among those... ",https://www.yahoo.com/news/ukraine-russia-swap-50-prisoners-173524914.html?fr=sycsrp_catchall,4 hours ago
